number,name,region,dong_id
581,씨유SeeUPC,대구광역시 달서구 용산동,3
582,카카오PC,대구광역시 달서구 감삼동,3
583,준 PC방,대구광역시 서구 평리동,3
584,헬로pc방,대구광역시 서구 비산동,3
585,먹방피시방,대구광역시 수성구 범어동,6
586,네옥스(NEOX),대구광역시 남구 봉덕동,4
587,아라PC토랑,대구광역시 북구 태전동,5
588,앤유PC(NU),대구광역시 남구 대명동,4
589,더원만촌점,대구광역시 수성구 만촌동,6
590,이노스페이스 동인점,대구광역시 중구 동인동,1
591,레오PC방,대구광역시 동구 방촌동,2
592,비투PC,대구광역시 남구 대명동,4
593,이노스페이스 효목점,대구광역시 동구 효목동,2
594,우리동네PC방,대구광역시 달서구 이곡동,3
595,카카오PC,대구광역시 남구 대명동,4
596,인스타PC,대구광역시 동구 방촌동,2
597,GPC카페,대구광역시 동구 효목동,2
598,호야PC방,대구광역시 서구 평리동,3
599,아 ! 그렇구나. PC방,대구광역시 수성구 시지동,6
600,프랜즈,대구광역시 남구 대명동,4
601,맘모스PC,대구광역시 동구 신암동,2
602,올벤PC 상인점,대구광역시 달서구 상인동,3
603,와 PC방,대구광역시 동구 효목동,2
604,올레pc방,대구광역시 수성구 지산동,6
605,아라PC토랑,대구광역시 남구 봉덕동,4
606,엔젤PC방,대구광역시 북구 복현동,5
607,인스타고성점,대구광역시 북구 고성동,5
608,비투PC,대구광역시 달서구 송현동,3
609,엔조이락PC방,대구광역시 달서구 본리동,3
610,올레,대구광역시 북구 산격동,5
611,투데이PC방,대구광역시 달성군 화원읍,8
612,논스톱PC방,대구광역시 동구 효목동,2
613,애플,대구광역시 서구 평리동,3
614,PC칸,대구광역시 북구 관음동,5
615,엔조이락 PC방,대구광역시 동구 신기동,2
616,비오비PC,대구광역시 수성구 범어동,6
617,버니PC방,대구광역시 동구 효목동,2
618,아우토반PC방,대구광역시 동구 지묘동,2
619,궁PC방,대구광역시 중구 남산동,1
620,TNT PC방,대구광역시 달서구 호산동,3
621,팽피시카페동천점,대구광역시 북구 동천동,5
622,레나PC,대구광역시 수성구 지산동,6
623,킹피씨방,대구광역시 수성구 범어동,6
624,NU PC,대구광역시 동구 신암동,2
625,로그인PC,대구광역시 북구 복현동,5
626,스피드PC존,대구광역시 달성군 현풍면,8
627,nu피시방서변점,대구광역시 북구 서변동,5
628,팽pc,대구광역시 달서구 신당동,3
629,팽피시카페 운암점,대구광역시 북구 동천동,5
630,컴온피씨방,대구광역시 동구 방촌동,2
631,욜로PC방,대구광역시 북구 고성동,5
632,헬로PC방,대구광역시 북구 침산동,5
